Event	ID	Name			Wwise Object Path	Notes
	1879833053	BattleMusic1			\Default Work Unit\BattleMusic1	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	60589103	Battle Music 1 - BPM106 - B - Pulses	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Pulses_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Pulses		3935440
	64440834	Battle Music 1 - BPM106 - C - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Dark Glide Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Bass		3542240
	132879010	Battle Music 1 - BPM106 - C - Lead	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Lead_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Lead		3673312
	150527022	Battle Music 1 - BPM106 - A - Drums	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Drums_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Drums		3279396
	251006930	Battle Music 1 - BPM106 - C - Drums	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Drums_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Drums		3410484
	360445074	Battle Music 1 - BPM106 - B - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Dark Glide Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Bass		3542224
	368105483	Battle Music 1 - BPM106 - A - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Dark Glide Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Bass		3542224
	373166211	Battle Music 1 - BPM106 - A - Arp	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Arp_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Arp		4197584
	412057076	Battle Music 1 - BPM106 - B - Trills	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Trills_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Trills		4459728
	457707367	Battle Music 1 - BPM106 - C - Arp	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Arp_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Arp		4197600
	479039764	Battle Music 1 - BPM106 - A - Pulses	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Pulses_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Pulses		4066512
	531003105	Battle Music 1 - BPM106 - B - Lead	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Lead_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Lead		3673296
	532561443	Battle Music 1 - BPM106 - B - Arp	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Arp_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Arp		4066544
	546244339	Battle Music 1 - BPM106 - B - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Bass		3542224
	622383516	Battle Music 1 - BPM106 - A - Lead	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Lead_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Lead		3542224
	625116685	Battle Music 1 - BPM106 - B - Drums	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 B\Battle Music 1 - BPM106 - B - Drums_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 B\Battle Music 1 - BPM106 - B - Drums		3410468
	626284106	Battle Music 1 - BPM106 - A - Trills	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Trills_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Trills		4590800
	679655242	Battle Music 1 - BPM106 - A - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 A\Battle Music 1 - BPM106 - A - Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 A\Battle Music 1 - BPM106 - A - Bass		3542224
	803157632	Battle Music 1 - BPM106 - C - Trills	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Trills_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Trills		4459744
	976463677	Battle Music 1 - BPM106 - C - Bass	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Bass_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Bass		3542240
	1022137328	Battle Music 1 - BPM106 - C - Pulses	Y:\Music\Wwise\Game Jams\Godot Wild Jam 67\.cache\Windows\SFX\Battle Music 1 C\Battle Music 1 - BPM106 - C - Pulses_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\Battle\Battle Music 1 C\Battle Music 1 - BPM106 - C - Pulses		4066528

